participant_id,trial_index,direct_match,status,missing_boundary_characters,compatible_candidates
117,0,True,direct_match,0,[]
117,1,True,direct_match,0,[]
117,2,True,direct_match,0,[]
117,3,True,direct_match,0,[]
116,0,True,direct_match,0,[]
116,1,True,direct_match,0,[]
116,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
116,3,True,direct_match,0,[]
115,0,True,direct_match,0,[]
115,1,True,direct_match,0,[]
115,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
115,3,True,direct_match,0,[]
114,0,True,direct_match,0,[]
114,1,True,direct_match,0,[]
114,2,True,direct_match,0,[]
114,3,True,direct_match,0,[]
113,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
113,1,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
113,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
113,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
112,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
112,1,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
112,2,True,direct_match,0,[]
112,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
111,0,True,direct_match,0,[]
111,1,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
111,2,True,direct_match,0,[]
111,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}, {""leading_spaces"": 1, ""trailing_spaces"": 0}]"
110,0,True,direct_match,0,[]
110,1,True,direct_match,0,[]
110,2,True,direct_match,0,[]
110,3,True,direct_match,0,[]
109,0,True,direct_match,0,[]
109,1,True,direct_match,0,[]
109,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
109,3,True,direct_match,0,[]
108,0,True,direct_match,0,[]
108,1,True,direct_match,0,[]
108,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
108,3,True,direct_match,0,[]
107,0,True,direct_match,0,[]
107,1,True,direct_match,0,[]
107,2,True,direct_match,0,[]
107,3,True,direct_match,0,[]
106,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
106,1,True,direct_match,0,[]
106,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
106,3,True,direct_match,0,[]
105,0,True,direct_match,0,[]
105,1,True,direct_match,0,[]
105,2,True,direct_match,0,[]
105,3,True,direct_match,0,[]
104,0,True,direct_match,0,[]
104,1,True,direct_match,0,[]
104,2,True,direct_match,0,[]
104,3,True,direct_match,0,[]
103,0,True,direct_match,0,[]
103,1,True,direct_match,0,[]
103,2,True,direct_match,0,[]
103,3,True,direct_match,0,[]
102,0,True,direct_match,0,[]
102,1,True,direct_match,0,[]
102,2,True,direct_match,0,[]
102,3,True,direct_match,0,[]
101,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
101,1,True,direct_match,0,[]
101,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
101,3,True,direct_match,0,[]
100,0,True,direct_match,0,[]
100,1,True,direct_match,0,[]
100,2,True,direct_match,0,[]
100,3,True,direct_match,0,[]
99,0,True,direct_match,0,[]
99,1,True,direct_match,0,[]
99,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
99,3,True,direct_match,0,[]
98,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
98,1,True,direct_match,0,[]
98,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
98,3,True,direct_match,0,[]
97,0,True,direct_match,0,[]
97,1,True,direct_match,0,[]
97,2,True,direct_match,0,[]
97,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
96,0,True,direct_match,0,[]
96,1,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
96,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
96,3,True,direct_match,0,[]
95,0,True,direct_match,0,[]
95,1,True,direct_match,0,[]
95,2,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
95,3,True,direct_match,0,[]
94,0,True,direct_match,0,[]
94,1,True,direct_match,0,[]
94,2,True,direct_match,0,[]
94,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
93,0,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
93,1,True,direct_match,0,[]
93,2,True,direct_match,0,[]
93,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
92,0,True,direct_match,0,[]
92,1,True,direct_match,0,[]
92,2,True,direct_match,0,[]
92,3,True,direct_match,0,[]
91,0,True,direct_match,0,[]
91,1,True,direct_match,0,[]
91,2,True,direct_match,0,[]
91,3,True,direct_match,0,[]
90,0,True,direct_match,0,[]
90,1,True,direct_match,0,[]
90,2,True,direct_match,0,[]
90,3,True,direct_match,0,[]
89,0,True,direct_match,0,[]
89,1,True,direct_match,0,[]
89,2,True,direct_match,0,[]
89,3,False,compatible_with_stripped_boundary_spaces,1,"[{""leading_spaces"": 0, ""trailing_spaces"": 1}]"
88,0,True,direct_match,0,[]
